No,Foto,Nama,Kategori,Jalan,Desa/Kelurahan,Kecamatan,Kota/Kabupaten,Kontak,X (Longitude),Y (Latitude)
1,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/Asia-Afrika_Budaya.jpg,Museum Konferensi Asia Afrika,Museum,Jl. Asia Afrika No.65,Braga,Sumur Bandung,Kota Bandung,,107.609417,-6.921289
2,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/GedungSate_Budaya.jpg,Gedung Sate,Gedung Sejarah,Jl. Diponegoro No.22,Citarum,Bandung Wetan,Kota Bandung,,107.61872,-6.901936
3,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/saungudjo_Budaya.jpg,Saung Angklung Udjo,Saung Seni,Jl. Padasuka No.118,Pasirlayung,Cibeunying Kidul,Kota Bandung,,107.654686,-6.8977
4,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/MuseumGeologi_Budaya.jpg,Museum Geologi Bandung,Museum,Jl. Diponegoro No.57,Cihaur Geulis,Cibeunying Kaler,Kota Bandung,,107.621456,-6.900717
5,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/MuseumSriBaduga_Bandung.jpeg,Museum Sri Baduga,Museum,Jl. BKR No.185,Pelindung Hewan,Astanaanyar,Kota Bandung,,107.603489,-6.937644
6,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/GedungIndonesiaMenggugat_Budaya.jpeg,Gedung Indonesia Menggugat,Cagar Budaya,Jl. Perintis Kemerdekaan No.5,Babakan Ciamis,Sumur Bandung,Kota Bandung,,107.608022,-6.913536
7,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/NuArt_Budaya.jpg,NuArt Sculpture Park,Taman Budaya,Jl. Setra Duta Raya No.L6,Ciwaruga,Parongpong,Kab. Bandung Barat,,107.572289,-6.8777
8,https://www.metrum.id/wp-content/uploads/2025/03/dsc00150-001-1-scaled.jpg,Taman Budaya Jawa Barat,Taman Budaya,Jl. Bukit Dago Selatan No.53A,Dago,Coblong,Kota Bandung,,107.619217,-6.869453
9,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Budaya/JalanBraga_Budaya.jpeg,Jalan Braga,Kawasan Sejarah,Jl. Braga,Braga,Sumur Bandung,Kota Bandung,,107.609436,-6.917823
10,https://upload.wikimedia.org/wikipedia/commons/1/11/Kantor_Pusat_Pos_Indonesia.JPG,Museum Pos Indonesia,Museum,Jl. Cilaki No.73,Cihapit,Bandung Wetan,Kota Bandung,,107.619745,-6.902061
11,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np09NEF9ybs2F_MnvA9xZuNmRYT0jQqba5yORb0ys8WzIkOqM2mM4SeWdc8ArhY0VAvN4SFQBOQwq3gYBGgGd4_gt512tOLj-ERvLDC2eN48wuJ8NK97vy_bj7qmaJT4IXwginE=w270-h312-n-k-no,Kampung Adat Cireundeu,Kampung Adat,,Cireundeu,Leuwigajah,Kota Cimahi,,107.523423,-6.914281
12,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/79/2024/08/22/IMG_4029-1880028822.jpg,Selasar Sunaryo Art Space,Galeri Seni,Jl. Bukit Pakar Timur No.100,Ciburial,Cimenyan,Kab. Bandung,,107.636541,-6.858714
13,https://asset-2.tribunnews.com/jabar/foto/bank/images/rumah-Inggit-2362023-a.jpg,Rumah Inggit Garnasih,Cagar Budaya,Jl. Inggit Garnasih No.8,Nyengseret,Astanaanyar,Kota Bandung,,107.602497,-6.931478
14,https://asset.kompas.com/crops/UaIT4tYP8ULwz8z7qd9SwByVMZg=/78x22:1108x709/1200x800/data/photo/2023/10/12/6527db160152e.jpeg,Villa Isola (Bumi Siliwangi),Gedung Sejarah,Jl. Dr. Setiabudi No.229,Isola,Sukasari,Kota Bandung,,107.594333,-6.8611
15,https://upload.wikimedia.org/wikipedia/commons/4/45/Stasiun_Bandung_Selatan_2021.jpg,Stasiun Bandung (Hall Selatan),Gedung Sejarah,Jl. Stasiun Timur No.1,Kebonjeruk,Andir,Kota Bandung,,107.602433,-6.914789
16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-jPH0kJi7i8j4TgswPpUAR1W5Iti2xD3-bQ&s,Gedung De Vries,Cagar Budaya,Jl. Asia Afrika,Alun-alun,Sumur Bandung,Kota Bandung,,107.609689,-6.92157
17,https://suakaonline.com/wp-content/uploads/2016/06/masjid-cipaganti.jpg,Masjid Cipaganti,Tempat Ibadah,Jl. Raden AA Wiranatakusumah No.85,Cipaganti,Coblong,,107.60235,-6.894652,
18,https://asset.kompas.com/crops/atR34thmCdAi39c3dTQ_JUqfhLo=/147x0:1225x719/1200x800/data/photo/2022/11/14/63725de4b9231.jpg,Gereja Katedral Santo Petrus,Tempat Ibadah,Jl. Merdeka No.14,Babakan Ciamis,Sumur Bandung,Kota Bandung,,107.6105,-6.914792
19,https://teropongmedia.id/wp-content/uploads/2024/02/Vihara-Satya-Budhi.jpeg,Vihara Satya Budhi,Tempat Ibadah,Jl. Kelenteng No.10,Ciroyom,Andir,Kota Bandung,,107.592642,-6.917961
20,https://images.tokopedia.net/blog-tokopedia-com/uploads/2016/11/goa-belanda-700x500.jpeg,Goa Belanda & Goa Jepang,Situs Sejarah,Taman Hutan Raya Ir. H. Djuanda No.99,Dago,,Kota Bandung,,107.635322,-6.855483
21,https://golali.id/wp-content/uploads/2024/05/Bandung-Creative-Hub.jpg,Bandung Creative Hub,Ruang Kreatif,Jl. Laswi No.7,Kacapiring,Batununggal,Kota Bandung,,107.631617,-6.9183
22,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqv1-m_X_JLAET8KXO6i9WFrEJOoXLsd2XHlDEJlNq5YIlgsV7p_fFy8h3TRP7o90KuEfo8w40C-s9vShZcroCygcOTNQcF38YrZ0hMBPBzB0S__VRkQYm82yGtu1Nrth58tEU2TA=w223-h160-n-k-no-nu,Komunitas Hong,Komunitas Budaya,Jl. Bukit Pakar Utara No.35,Ciburial,Cimenyan,Kab. Bandung,,107.63364,-6.85808
23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/fd/da/78/batu-air-wot-batu-bandung.jpg?w=1200&h=-1&s=1,Wot Batu,Galeri Seni,Jl. Bukit Pakar Timur No.98,Ciburial,Cimenyan,Kab. Bandung,,107.63614,-6.85966
24,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHdaB9k9hH_Xwvi0Rhy6Wica68Jrdpaya_Zzne0_F6VVwtPNWzueH36gSiUWgv35e4_hREY0zCxqSKS-bDvfIsqdov2nYrB-m5BMhoWIj2vqn-d8k9iY6IY2Xe4mRKDD9FwRYfzg=s1360-w1360-h1020-rw,Grey Art Gallery,Galeri Seni,Jl. Braga No.47,Braga,Sumur Bandung,Kota Bandung,,107.60952,-6.91862
25,https://img.antarafoto.com/cache/1200x746/2016/09/27/lukisan-jelekong-dkoq-dom.jpg,Jelekong Art Village,Kampung Seni,,Desa Jelekong,Baleendah,Kab. Bandung,,107.65508,-7.0237
26,https://awsimages.detik.net.id/community/media/visual/2023/12/05/taman-sejarah-bandung_169.jpeg?w=620,Taman Sejarah Bandung,Taman Edukasi,Jl. Aceh,Babakan Ciamis,Sumur Bandung,Kota Bandung,,107.61029,-6.9102
